year,date,count
2008,2008-12-19,1885
2008,2008-12-20,1268
2008,2008-12-21,809
2008,2008-12-22,1757
2008,2008-12-23,1457
2008,2008-12-24,879
2008,2008-12-25,518
2008,2008-12-26,489
2008,2008-12-27,677
2008,2008-12-28,433
2008,2008-12-29,1036
2008,2008-12-30,1087
2008,2008-12-31,897
2009,2009-01-01,502
2009,2009-01-02,1124
2009,2009-01-03,786
2009,2009-01-04,723
2009,2009-01-05,1207
2009,2009-01-06,1144
2009,2009-01-07,1118
2009,2009-01-08,1331
2009,2009-01-09,1352
2009,2009-01-10,956
2009,2009-01-11,733
2009,2009-01-12,1252
2009,2009-01-13,1092
2009,2009-01-14,1181
2009,2009-01-15,1249
2009,2009-01-16,1389
2009,2009-01-17,898
2009,2009-01-18,713
2009,2009-01-19,1394
2009,2009-01-20,1080
2009,2009-01-21,1235
2009,2009-01-22,1225
2009,2009-01-23,1262
2009,2009-01-24,887
2009,2009-01-25,698
2009,2009-01-26,1225
2009,2009-01-27,988
2009,2009-01-28,978
2009,2009-01-29,986
2009,2009-01-30,1420
2009,2009-01-31,1287
2009,2009-02-01,730
2009,2009-02-02,1095
2009,2009-02-03,1047
2009,2009-02-04,1188
2009,2009-02-05,1094
2009,2009-02-06,1438
2009,2009-02-07,1042
2009,2009-02-08,784
2009,2009-02-09,1269
2009,2009-02-10,1089
2009,2009-02-11,1485
2009,2009-02-12,1316
2009,2009-02-13,1851
2009,2009-02-14,1270
2009,2009-02-15,701
2009,2009-02-16,1236
2009,2009-02-17,1144
2009,2009-02-18,1443
2009,2009-02-19,1231
2009,2009-02-20,1318
2009,2009-02-21,866
2009,2009-02-22,716
2009,2009-02-23,1369
2009,2009-02-24,1115
2009,2009-02-25,946
2009,2009-02-26,1186
2009,2009-02-27,1313
2009,2009-02-28,1051
2009,2009-03-01,619
2009,2009-03-02,1050
2009,2009-03-03,1026
2009,2009-03-04,980
2009,2009-03-05,981
2009,2009-03-06,1178
2009,2009-03-07,994
2009,2009-03-08,809
2009,2009-03-09,1276
2009,2009-03-10,1253
2009,2009-03-11,1210
2009,2009-03-12,1226
2009,2009-03-13,1386
2009,2009-03-14,940
2009,2009-03-15,738
2009,2009-03-16,1021
2009,2009-03-17,1327
2009,2009-03-18,1139
2009,2009-03-19,1277
2009,2009-03-20,1195
2009,2009-03-21,841
2009,2009-03-22,673
2009,2009-03-23,1332
2009,2009-03-24,1528
2009,2009-03-25,1678
2009,2009-03-26,1039
2009,2009-03-27,1228
2009,2009-03-28,957
2009,2009-03-29,754
2009,2009-03-30,1142
2009,2009-03-31,1144
2009,2009-04-01,1237
2009,2009-04-02,1262
2009,2009-04-03,1398
2009,2009-04-04,1118
2009,2009-04-05,805
2009,2009-04-06,1253
2009,2009-04-07,1200
2009,2009-04-08,1307
2009,2009-04-09,1499
2009,2009-04-10,1339
2009,2009-04-11,799
2009,2009-04-12,541
2009,2009-04-13,675
2009,2009-04-14,1119
2009,2009-04-15,1176
2009,2009-04-16,1123
2009,2009-04-17,1155
2009,2009-04-18,963
2009,2009-04-19,782
2009,2009-04-20,1208
2009,2009-04-21,1162
2009,2009-04-22,1159
2009,2009-04-23,1109
2009,2009-04-24,1438
2009,2009-04-25,1105
2009,2009-04-26,850
2009,2009-04-27,1171
2009,2009-04-28,1215
2009,2009-04-29,1216
2009,2009-04-30,1507
2009,2009-05-01,871
2009,2009-05-02,891
2009,2009-05-03,795
2009,2009-05-04,1124
2009,2009-05-05,988
2009,2009-05-06,1482
2009,2009-05-07,1031
2009,2009-05-08,1243
2009,2009-05-09,1133
2009,2009-05-10,810
2009,2009-05-11,1167
2009,2009-05-12,1274
2009,2009-05-13,1064
2009,2009-05-14,1075
2009,2009-05-15,1287
2009,2009-05-16,1228
2009,2009-05-17,784
2009,2009-05-18,1086
2009,2009-05-19,1193
2009,2009-05-20,1094
2009,2009-05-21,1080
2009,2009-05-22,1380
2009,2009-05-23,1069
2009,2009-05-24,776
2009,2009-05-25,1154
