year,date,count
2008,2008-09-19,31
2008,2008-09-20,24
2008,2008-09-21,20
2008,2008-09-22,32
2008,2008-09-23,32
2008,2008-09-24,30
2008,2008-09-25,30
2008,2008-09-26,42
2008,2008-09-27,26
2008,2008-09-28,21
2008,2008-09-29,34
2008,2008-09-30,42
2008,2008-10-01,37
2008,2008-10-02,39
2008,2008-10-03,35
2008,2008-10-04,18
2008,2008-10-05,20
2008,2008-10-06,33
2008,2008-10-07,35
2008,2008-10-08,31
2008,2008-10-09,37
2008,2008-10-10,44
2008,2008-10-11,33
2008,2008-10-12,30
2008,2008-10-13,39
2008,2008-10-14,41
2008,2008-10-15,40
2008,2008-10-16,37
2008,2008-10-17,39
2008,2008-10-18,30
2008,2008-10-19,15
2008,2008-10-20,32
2008,2008-10-21,58
2008,2008-10-22,36
2008,2008-10-23,31
2008,2008-10-24,35
2008,2008-10-25,15
2008,2008-10-26,16
2008,2008-10-27,37
2008,2008-10-28,27
2008,2008-10-29,39
2008,2008-10-30,45
2008,2008-10-31,46
2008,2008-11-01,16
2008,2008-11-02,15
2008,2008-11-03,18
2008,2008-11-04,32
2008,2008-11-05,29
2008,2008-11-06,20
2008,2008-11-07,20
2008,2008-11-08,23
2008,2008-11-09,22
2008,2008-11-10,34
2008,2008-11-11,13
2008,2008-11-12,29
2008,2008-11-13,20
2008,2008-11-14,23
2008,2008-11-15,16
2008,2008-11-16,14
2008,2008-11-17,33
2008,2008-11-18,18
2008,2008-11-19,32
2008,2008-11-20,30
2008,2008-11-21,22
2008,2008-11-22,11
2008,2008-11-23,2
2008,2008-11-24,15
2008,2008-11-25,11
2008,2008-11-26,16
2008,2008-11-27,27
2008,2008-11-28,31
2008,2008-11-29,18
2008,2008-11-30,8
2008,2008-12-01,28
2008,2008-12-02,26
2008,2008-12-03,20
2008,2008-12-04,31
2008,2008-12-05,22
2008,2008-12-06,27
2008,2008-12-07,6
2008,2008-12-08,27
2008,2008-12-09,16
2008,2008-12-10,24
2008,2008-12-11,22
2008,2008-12-12,23
2008,2008-12-13,17
2008,2008-12-14,5
2008,2008-12-15,21
2008,2008-12-16,24
2008,2008-12-17,22
2008,2008-12-18,30
2008,2008-12-19,21
2008,2008-12-20,11
2008,2008-12-21,5
2008,2008-12-22,23
2008,2008-12-23,22
2008,2008-12-24,6
2008,2008-12-25,4
2008,2008-12-26,3
2008,2008-12-27,3
2008,2008-12-28,4
2008,2008-12-29,6
2008,2008-12-30,10
2008,2008-12-31,9
2009,2009-01-01,3
2009,2009-01-02,6
2009,2009-01-03,5
2009,2009-01-04,2
2009,2009-01-05,11
2009,2009-01-06,6
2009,2009-01-07,4
2009,2009-01-08,5
2009,2009-01-09,8
2009,2009-01-10,4
2009,2009-01-11,2
2009,2009-01-12,13
2009,2009-01-13,9
2009,2009-01-14,7
2009,2009-01-15,7
2009,2009-01-16,6
2009,2009-01-17,5
2009,2009-01-18,3
2009,2009-01-19,9
2009,2009-01-20,12
2009,2009-01-21,13
2009,2009-01-22,10
2009,2009-01-23,12
2009,2009-01-24,13
2009,2009-01-25,6
2009,2009-01-26,8
2009,2009-01-27,12
2009,2009-01-28,14
2009,2009-01-29,14
2009,2009-01-30,16
2009,2009-01-31,7
2009,2009-02-01,4
2009,2009-02-02,9
2009,2009-02-03,8
2009,2009-02-04,9
2009,2009-02-05,12
2009,2009-02-06,22
2009,2009-02-07,16
2009,2009-02-08,13
2009,2009-02-09,15
2009,2009-02-10,13
2009,2009-02-11,16
2009,2009-02-12,6
2009,2009-02-13,8
2009,2009-02-14,5
2009,2009-02-15,2
2009,2009-02-16,12
2009,2009-02-17,7
2009,2009-02-18,6
2009,2009-02-19,6
2009,2009-02-20,8
2009,2009-02-21,7
2009,2009-02-22,4
2009,2009-02-23,6
2009,2009-02-24,10
2009,2009-02-25,12
2009,2009-02-26,11
2009,2009-02-27,6
